id	分类模块	族	类型	英文	中文	状态
def_modular_engine_piston_5x5_desc	引擎与动力	模块化引擎	desc	Attach a cylinder to a crankshafts outer surface to produce power for an engine. The cylinder requires a manifold to move air, fuel, and exhaust through the cylinder. Cylinders that are chained directly adjacent to each other can share a single manifold.	将气缸连接到曲轴外表面以产生动力。将对应歧管连接到气缸以提供进气，并输送燃油和废气。直接相邻的气缸可以共用一个歧管	ok
def_modular_engine_piston_5x5_s_desc	引擎与动力	模块化引擎	s_desc	A modular engine cylinder.	模块化发动机气缸	ok
def_modular_engine_piston_5x5_node_0_label	引擎与动力	模块化引擎	label	Composite Data	复合数据	ok
def_modular_engine_piston_5x5_node_0_desc	引擎与动力	模块化引擎	node_desc	Outputs data from the cylinder. (Value 1 : Air Volume) (Value 2 : Fuel Volume) (Value 3 : Temperature)	从气缸输出数据。(值1:空气量)(值2:燃油量)(值3:温度)	ok
def_modular_engine_power_manifold_3x3_name	引擎与动力	模块化引擎	name	Modular Engine Drive Belt 3x3	模块化发动机传动带3x3	ok
def_modular_engine_power_manifold_3x3_desc	引擎与动力	模块化引擎	desc	The drive belt attaches to the crankshaft and provides an interface for starters, alternators and pumps.	传动带连接在曲轴上，为起动机、交流发电机和泵提供接口	ok
def_modular_engine_power_manifold_3x3_s_desc	引擎与动力	模块化引擎	s_desc	A modular engine drive belt.	模块化发动机传动带	ok
def_modular_engine_power_manifold_5x5_name	引擎与动力	模块化引擎	name	Modular Engine Drive Belt 5x5	模块化发动机传动带 5x5	ok
def_modular_engine_power_manifold_5x5_desc	引擎与动力	模块化引擎	desc	The drive belt attaches to the crankshaft and provides an interface for starters, alternators and pumps.	传动带连接在曲轴上，为起动机、交流发电机和泵提供接口	ok
def_modular_engine_power_manifold_5x5_s_desc	引擎与动力	模块化引擎	s_desc	A modular engine drive belt.	模块化发动机传动带	ok
def_modular_engine_sensor_temperature_name	引擎与动力	模块化引擎	name	Modular Engine Temperature Sensor	模块化发动机温度传感器	ok
def_modular_engine_sensor_temperature_desc	引擎与动力	模块化引擎	desc	Attach to a crankshaft to provide temperature information.	连接到曲轴以提供温度信息	ok
def_modular_engine_sensor_temperature_s_desc	引擎与动力	模块化引擎	s_desc	A modular engine temperature sensor.	模块化发动机温度传感器	ok
def_modular_engine_sensor_temperature_node_0_label	引擎与动力	模块化引擎	label	Temperature	温度	ok
def_modular_engine_sensor_temperature_node_0_desc	引擎与动力	模块化引擎	node_desc			ok
def_modular_engine_starter_name	引擎与动力	模块化引擎	name	Modular Engine Starter	模块化发动机起动器	ok
def_modular_engine_starter_desc	引擎与动力	模块化引擎	desc	Attach a starter to a Drive Belt component and supply power to apply an inefficient force on the engine to get it started.	将启动器附在传动带组件上，并提供电源，以施加一个启动发动机的力	ok
def_modular_engine_starter_s_desc	引擎与动力	模块化引擎	s_desc	A modular engine starter.	模块化发动机起动器	ok
def_modular_engine_starter_node_0_label	引擎与动力	模块化引擎	label	Starter	起动器	ok
def_modular_engine_starter_node_0_desc	引擎与动力	模块化引擎	node_desc			ok
def_modular_engine_starter_node_1_label	引擎与动力	模块化引擎	label	Electric	电	ok
def_modular_engine_starter_node_1_desc	引擎与动力	模块化引擎	node_desc	Electrical power connection.	电源连接	ok
def_monitor_1_name	显示与控制	显示器	name	Monitor 1x1	显示器1x1	ok
def_monitor_1_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_1_s_desc	显示与控制	显示器	s_desc	A video screen.	视频显示器	ok
def_monitor_1_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_1_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_1_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_1_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_1_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_1_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_1_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_1_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_1x2_name	显示与控制	显示器	name	Monitor 1x2	显示器1x2	ok
def_monitor_1x2_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_1x2_s_desc	显示与控制	显示器	s_desc	A video screen.	视频显示器	ok
def_monitor_1x2_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_1x2_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x2_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_1x2_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x2_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_1x2_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x2_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_1x2_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_1x3_name	显示与控制	显示器	name	Monitor 1x3	显示器1x3	ok
def_monitor_1x3_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_1x3_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_1x3_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_1x3_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x3_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_1x3_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x3_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_1x3_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_1x3_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_1x3_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_2_name	显示与控制	显示器	name	Monitor 2x2	显示器 2x2	ok
def_monitor_2_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_2_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_2_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_2_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_2_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_2_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_2_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_2_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_2_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_2_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_2x3_name	显示与控制	显示器	name	Monitor 2x3	显示器 2x3	ok
def_monitor_2x3_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_2x3_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_2x3_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_2x3_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_2x3_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_2x3_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_2x3_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_2x3_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_2x3_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_2x3_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_3_name	显示与控制	显示器	name	Monitor 3x3	显示器3x3	ok
def_monitor_3_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_3_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_3_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_3_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_3_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_3_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_3_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_3_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_3_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_3_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_5_name	显示与控制	显示器	name	Monitor 5x3	显示器5x3	ok
def_monitor_5_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_5_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_5_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_5_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_5_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_5_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_5_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_5_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_5_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_5_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_9_name	显示与控制	显示器	name	Monitor 9x5	显示器9x5	ok
def_monitor_9_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_9_s_desc	显示与控制	显示器	s_desc	A video screen.	视频屏幕	ok
def_monitor_9_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_9_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_9_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_9_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_9_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_9_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_9_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_9_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_hud_1_name	显示与控制	显示器	name	HUD Small	HUD(小)	ok
def_monitor_hud_1_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_hud_1_s_desc	显示与控制	显示器	s_desc	A clear projection heads up display screen.	抬头显示器	ok
def_monitor_hud_1_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_hud_1_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_1_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_hud_1_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_1_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_hud_1_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_1_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_hud_1_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_monitor_hud_3_name	显示与控制	显示器	name	HUD Large	HUD(大)	ok
def_monitor_hud_3_desc	显示与控制	显示器	desc	Displays video data.	显示视频数据	ok
def_monitor_hud_3_s_desc	显示与控制	显示器	s_desc	A clear projection heads up display screen.	抬头显示器	ok
def_monitor_hud_3_node_0_label	显示与控制	显示器	label	Video Signal	视频信号	ok
def_monitor_hud_3_node_0_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_3_node_1_label	显示与控制	显示器	label	Touch Output	触摸输出	ok
def_monitor_hud_3_node_1_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_3_node_2_label	显示与控制	显示器	label	Electric	电	ok
def_monitor_hud_3_node_2_desc	显示与控制	显示器	node_desc			ok
def_monitor_hud_3_node_3_label	显示与控制	显示器	label	Power Switch	电源开关	ok
def_monitor_hud_3_node_3_desc	显示与控制	显示器	node_desc	Controls whether or not the screen is switched on.	控制屏幕是否打开	ok
def_motor_large_name	引擎与动力	马达	name	Large Electric Motor	电动机(大)	ok
def_motor_large_desc	引擎与动力	马达	desc	Converts electrical energy into mechanical force.	将电能转化为机械力	ok
def_motor_large_s_desc	引擎与动力	马达	s_desc	A large electric motor.	大型电动机	ok
def_motor_large_node_0_label	引擎与动力	马达	label	RPS	RPS	ok
def_motor_large_node_0_desc	引擎与动力	马达	node_desc	The power output for mechanical force.	输出功率	ok
def_motor_large_node_1_label	引擎与动力	马达	label	Electric	电	ok
def_motor_large_node_1_desc	引擎与动力	马达	node_desc	The electric energy input to be converted into mechanical force.	输入的电能被转换成机械能	ok
def_motor_large_node_2_label	引擎与动力	马达	label	Throttle	节流阀	ok
def_motor_large_node_2_desc	引擎与动力	马达	node_desc	The throttle input to control how much electric energy is converted to force.	控制多少电能转化为力的油门输入	ok
def_motor_medium_name	引擎与动力	马达	name	Medium Electric Motor	电动机(中)	ok
def_motor_medium_desc	引擎与动力	马达	desc	Converts electrical energy into mechanical force.	将电能转化为机械能	ok
def_motor_medium_s_desc	引擎与动力	马达	s_desc	A medium electric motor.	中型电动机	ok
def_motor_medium_node_0_label	引擎与动力	马达	label	RPS	RPS	ok
def_motor_medium_node_0_desc	引擎与动力	马达	node_desc	The power output for mechanical force.	机械能的输出功率	ok
def_motor_medium_node_1_label	引擎与动力	马达	label	Electric	电	ok
def_motor_medium_node_1_desc	引擎与动力	马达	node_desc	The electric energy input to be converted into mechanical force.	输入的电能被转换成机械能	ok
def_motor_medium_node_2_label	引擎与动力	马达	label	Throttle	节流阀	ok
def_motor_medium_node_2_desc	引擎与动力	马达	node_desc	The throttle input to control how much electric energy is converted to force.	控制多少电能转化为力的油门输入	ok
def_motor_small_name	引擎与动力	马达	name	Small Electric Motor	电动机(小)	ok
def_motor_small_desc	引擎与动力	马达	desc	Converts electrical energy into mechanical force.	将电能转化为机械能	ok
def_motor_small_s_desc	引擎与动力	马达	s_desc	A small electric motor.	小型电动机	ok
def_motor_small_node_0_label	引擎与动力	马达	label	RPS	RPS	ok
def_motor_small_node_0_desc	引擎与动力	马达	node_desc	The power output for mechanical force.	机械能的输出功率	ok
def_motor_small_node_1_label	引擎与动力	马达	label	Electric	电	ok
def_motor_small_node_1_desc	引擎与动力	马达	node_desc	The electric energy input to be converted into mechanical force.	输入的电能被转换成机械能	ok
def_motor_small_node_2_label	引擎与动力	马达	label	Throttle	节流阀	ok
def_motor_small_node_2_desc	引擎与动力	马达	node_desc	The throttle input to control how much electric energy is converted to force.	控制多少电能转化为力的油门输入	ok
def_multibody_compact_pivot_b_name	机械与传动	多体物理	name	Compact Pivot	compact_pivot_b	ok
def_multibody_compact_pivot_b_desc	机械与传动	多体物理	desc			ok
def_multibody_compact_pivot_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_compact_pivot_robotic_a_name	机械与传动	多体物理	name	Compact Robotic Pivot	机械枢轴(紧凑型)	ok
def_multibody_compact_pivot_robotic_a_desc	机械与传动	多体物理	desc	The pivot has a range of motion of 0.25 turns in both directions. A standard input value sets the target orientation within the pivot's range of motion. The pivot's speed can be configured by selecting it with the select tool.	枢轴在两个方向上的运动范围为0.25圈。标准输入值设置轴运动范围内的目标方向。轴的测量旋转可以从其输出中读取。轴的速度可以通过使用选择工具选择来配置	ok
def_multibody_compact_pivot_robotic_a_s_desc	机械与传动	多体物理	s_desc	A small robotic pivot that will orientate towards the input value within its range of motion.	在其运动范围内朝向输入值的机器枢轴	ok
def_multibody_compact_pivot_robotic_a_node_0_label	机械与传动	多体物理	label	Rotation Target	目标圈数	ok
def_multibody_compact_pivot_robotic_a_node_0_desc	机械与传动	多体物理	node_desc	The standard value setting the orientation within the range of motion.	输入运动范围内的目标圈数	ok
def_multibody_compact_pivot_robotic_a_node_1_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_compact_pivot_robotic_a_node_1_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_compact_pivot_torque_a_name	机械与传动	多体物理	name	Compact Pivot (Power)	机械枢轴(紧凑 动力型)	ok
def_multibody_compact_pivot_torque_a_desc	机械与传动	多体物理	desc			ok
def_multibody_compact_pivot_torque_a_s_desc	机械与传动	多体物理	s_desc	A small pivot that can rotate freely about its axis.	围绕中心轴自由旋转的小型枢轴	ok
def_multibody_compact_pivot_torque_a_node_0_label	机械与传动	多体物理	label	RPS	RPS	ok
def_multibody_compact_pivot_torque_a_node_0_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.	可传递动力的紧凑型枢轴	ok
def_multibody_compact_pivot_torque_b_name	机械与传动	多体物理	name	Compact Pivot (Power)		todo
def_multibody_compact_pivot_torque_b_node_0_label	机械与传动	多体物理	label	RPS		todo
def_multibody_compact_pivot_torque_b_node_0_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.	可传递动力的紧凑型枢轴	ok
def_multibody_compact_pivot_velocity_a_name	机械与传动	多体物理	name	Compact Velocity Pivot	速度轴(紧凑型)	ok
def_multibody_compact_pivot_velocity_a_desc	机械与传动	多体物理	desc	Inputting a value of 0 will cause it to stop.	输入0将导致其停止	ok
def_multibody_compact_pivot_velocity_a_s_desc	机械与传动	多体物理	s_desc	A small pivot that will continuously rotate at a set input speed.	以输入的速度持续旋转的小枢轴	ok
def_multibody_compact_pivot_velocity_a_node_0_label	机械与传动	多体物理	label	Rotational Speed	转速	ok
def_multibody_compact_pivot_velocity_a_node_0_desc	机械与传动	多体物理	node_desc	The speed at which the pivot should rotate.	枢轴旋转的速度	ok
def_multibody_compact_pivot_velocity_a_node_1_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_compact_pivot_velocity_a_node_1_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_door_hinge_a_name	机械与传动	多体物理	name	Robotic Door Hinge	自定义门-铰链[主]	ok
def_multibody_door_hinge_a_desc	机械与传动	多体物理	desc	The hinge has a range of motion of 0.25 in each direction. A standard input value sets the target orientation within the pivot's range of motion. The measured rotation of the hinge can be read from its output. The hinge's speed can be configured by selecting it with the select tool.	铰链在一个方向上的运动范围为0.25圈。标准输入值设置轴运动范围内的目标方向。铰链的旋转测量值可以从其输出中读取。铰链的速度可以通过选择工具进行配置	ok
def_multibody_door_hinge_a_s_desc	机械与传动	多体物理	s_desc	A powered robotic hinge for custom sealable doors.	用于定制可密封门的电动机械铰链	ok
def_multibody_door_hinge_a_node_0_label	机械与传动	多体物理	label	Rotation Target	目标圈数	ok
def_multibody_door_hinge_a_node_0_desc	机械与传动	多体物理	node_desc	The standard value setting the orientation within the range of motion.	输入运动范围内的目标圈数	ok
def_multibody_door_hinge_a_node_1_label	机械与传动	多体物理	label	Current Rotation	当前圈数	ok
def_multibody_door_hinge_a_node_1_desc	机械与传动	多体物理	node_desc	The hinge's measured rotation between -0.25 and 0.25.	铰链在-0.25到0.25之间的旋转测量值	ok
def_multibody_door_hinge_a_node_2_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_door_hinge_a_node_2_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_door_hinge_b_name	机械与传动	多体物理	name	Robotic Door Hinge	自定义门-铰链[从]	ok
def_multibody_door_hinge_b_desc	机械与传动	多体物理	desc			ok
def_multibody_door_hinge_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_piston_suspension_a_name	机械与传动	多体物理	name	Piston Suspension	活塞悬挂	ok
def_multibody_piston_suspension_a_desc	机械与传动	多体物理	desc	A dampened hydraulic sprung piston.	液压阻尼弹簧活塞	ok
def_multibody_piston_suspension_a_s_desc	机械与传动	多体物理	s_desc	A shock absorber that can be used to improve handling of land-based vehicles.	可用于改善陆基车辆操控性的减震器	ok
def_multibody_piston_suspension_b_name	机械与传动	多体物理	name	Piston Suspension	活塞悬挂B	ok
def_multibody_piston_suspension_b_desc	机械与传动	多体物理	desc			ok
def_multibody_piston_suspension_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_pivot_a_name	机械与传动	多体物理	name	Pivot	枢轴	ok
def_multibody_pivot_a_desc	机械与传动	多体物理	desc	The pivot can rotate to 0.25 turns in both directions.	枢轴可以在两个方向上旋转0.25圈	ok
def_multibody_pivot_a_s_desc	机械与传动	多体物理	s_desc	A basic pivot that can move freely.	可以自由移动的基本支点	ok
def_multibody_pivot_b_name	机械与传动	多体物理	name	Pivot	枢轴	ok
def_multibody_pivot_b_desc	机械与传动	多体物理	desc			ok
def_multibody_pivot_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_pivot_torque_a_name	机械与传动	多体物理	name	Pivot (Power)		todo
def_multibody_pivot_torque_a_desc	机械与传动	多体物理	desc	The pivot can rotate to 0.25 turns in both directions.		todo
def_multibody_pivot_torque_a_s_desc	机械与传动	多体物理	s_desc	A basic pivot that can move freely.		todo
def_multibody_pivot_torque_a_node_0_label	机械与传动	多体物理	label	RPS		todo
def_multibody_pivot_torque_a_node_0_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.		todo
def_multibody_pivot_torque_b_name	机械与传动	多体物理	name	Pivot (Power)		todo
def_multibody_pivot_torque_b_desc	机械与传动	多体物理	desc			ok
def_multibody_pivot_torque_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_pivot_torque_b_node_0_label	机械与传动	多体物理	label	RPS		todo
def_multibody_pivot_torque_b_node_0_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.		todo
def_multibody_robotic_hinge_01_a_name	机械与传动	多体物理	name	Robotic Hinge	机械铰链[主]	ok
def_multibody_robotic_hinge_01_a_desc	机械与传动	多体物理	desc	The hinge has a range of motion of 0.25 turns in both directions. A standard input value sets the target orientation within the pivot's range of motion. The measured rotation of the hinge can be read from its output. The hinge's speed can be configured by selecting it with the select tool.	铰链在两个方向上的运动范围为0.25圈。标准输入值设置轴运动范围内的目标方向。铰链的旋转测量值可以从其输出中读取。铰链的速度可以通过选择工具进行配置	ok
def_multibody_robotic_hinge_01_a_s_desc	机械与传动	多体物理	s_desc	A powered robotic hinge that will orientate towards the input value within its range of motion.	有动力的机械铰链，它将朝向其运动范围内的输入值	ok
def_multibody_robotic_hinge_01_a_node_0_label	机械与传动	多体物理	label	Rotation Target	目标圈数	ok
def_multibody_robotic_hinge_01_a_node_0_desc	机械与传动	多体物理	node_desc	The standard value setting the orientation within the range of motion.	输入运动范围内的目标圈数	ok
def_multibody_robotic_hinge_01_a_node_1_label	机械与传动	多体物理	label	Current Rotation	当前圈数	ok
def_multibody_robotic_hinge_01_a_node_1_desc	机械与传动	多体物理	node_desc	The hinge's measured rotation between -0.25 and 0.25.	铰链在0到0.25之间的旋转测量值	ok
def_multibody_robotic_hinge_01_a_node_2_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_robotic_hinge_01_a_node_2_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_robotic_hinge_01_a_node_3_label	机械与传动	多体物理	label	RPS	RPS	ok
def_multibody_robotic_hinge_01_a_node_3_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.	用于传输机械能的连接	ok
def_multibody_robotic_hinge_01_a_node_4_label	机械与传动	多体物理	label	Fluid	流体	ok
def_multibody_robotic_hinge_01_a_node_4_desc	机械与传动	多体物理	node_desc	Fluid connection for transfering fluid.	用于输送流体的流体接头	ok
def_multibody_robotic_hinge_01_b_name	机械与传动	多体物理	name	Robotic Hinge	机械铰链[从]	ok
def_multibody_robotic_hinge_01_b_desc	机械与传动	多体物理	desc			ok
def_multibody_robotic_hinge_01_b_s_desc	机械与传动	多体物理	s_desc			ok
def_multibody_robotic_hinge_01_b_node_0_label	机械与传动	多体物理	label	RPS	RPS	ok
def_multibody_robotic_hinge_01_b_node_0_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.	用于传输机械能的连接	ok
def_multibody_robotic_hinge_01_b_node_1_label	机械与传动	多体物理	label	Fluid	流体	ok
def_multibody_robotic_hinge_01_b_node_1_desc	机械与传动	多体物理	node_desc	Fluid connection for transfering fluid.	用于输送流体的流体接头	ok
def_multibody_robotic_pivot_01_a_name	机械与传动	多体物理	name	Robotic Pivot (Power)	机械枢轴(动力)	ok
def_multibody_robotic_pivot_01_a_desc	机械与传动	多体物理	desc	The pivot has a range of motion of 0.25 turns in both directions. A standard input value sets the target orientation within the pivot's range of motion. The measured rotation of the pivot can be read from its output. The pivot's speed can be configured by selecting it with the select tool.	枢轴在两个方向上的运动范围为0.25圈。标准输入值设置轴运动范围内的目标方向。铰链的旋转测量值可以从其输出中读取。铰链的速度可以通过选择工具进行配置	ok
def_multibody_robotic_pivot_01_a_s_desc	机械与传动	多体物理	s_desc	A robotic pivot that will orientate towards the input value within its range of motion.	在其运动范围内朝向输入值的机器枢轴	ok
def_multibody_robotic_pivot_01_a_node_0_label	机械与传动	多体物理	label	Rotation Target	目标圈数	ok
def_multibody_robotic_pivot_01_a_node_0_desc	机械与传动	多体物理	node_desc	The standard value setting the orientation within the range of motion.	输入运动范围内的目标圈数	ok
def_multibody_robotic_pivot_01_a_node_1_label	机械与传动	多体物理	label	Current Rotation	当前圈数	ok
def_multibody_robotic_pivot_01_a_node_1_desc	机械与传动	多体物理	node_desc	The pivot's measured rotation between -0.25 and 0.25.	枢轴在-0.25到0.25之间测量	ok
def_multibody_robotic_pivot_01_a_node_2_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_robotic_pivot_01_a_node_2_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_robotic_pivot_01_a_node_3_label	机械与传动	多体物理	label	RPS	RPS	ok
def_multibody_robotic_pivot_01_a_node_3_desc	机械与传动	多体物理	node_desc	Power connection for transfering mechanical energy.	用于传输机械能的连接	ok
def_multibody_robotic_pivot_01_a_fluid_name	机械与传动	多体物理	name	Robotic Pivot (Fluid)	机械枢轴(流体)	ok
def_multibody_robotic_pivot_01_a_fluid_desc	机械与传动	多体物理	desc	The pivot has a range of motion of 0.25 turns in both directions. A standard input value sets the target orientation within the pivot's range of motion. The measured rotation of the pivot can be read from its output. The pivot's speed can be configured by selecting it with the select tool.	枢轴在两个方向上的运动范围为0.25圈。标准输入值设置轴运动范围内的目标方向。轴的测量旋转可以从其输出中读取。轴的速度可以通过使用选择工具选择来配置	ok
def_multibody_robotic_pivot_01_a_fluid_s_desc	机械与传动	多体物理	s_desc	A robotic pivot that will orientate towards the input value within its range of motion.	在其运动范围内朝向输入值的机器枢轴	ok
def_multibody_robotic_pivot_01_a_fluid_node_0_label	机械与传动	多体物理	label	Rotation Target	目标圈数	ok
def_multibody_robotic_pivot_01_a_fluid_node_0_desc	机械与传动	多体物理	node_desc	The standard value setting the orientation within the range of motion.	输入运动范围内的目标圈数	ok
def_multibody_robotic_pivot_01_a_fluid_node_1_label	机械与传动	多体物理	label	Current Rotation	当前圈数	ok
def_multibody_robotic_pivot_01_a_fluid_node_1_desc	机械与传动	多体物理	node_desc	The pivot's measured rotation between -0.25 and 0.25.	枢轴在-0.25到0.25之间测量	ok
def_multibody_robotic_pivot_01_a_fluid_node_2_label	机械与传动	多体物理	label	Electric	电	ok
def_multibody_robotic_pivot_01_a_fluid_node_2_desc	机械与传动	多体物理	node_desc	Electrical power connection.	电源连接	ok
def_multibody_robotic_pivot_01_a_fluid_node_3_label	机械与传动	多体物理	label	Fluid	流体	ok
